District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Main_source_of_drinking_water_Other_sources_Households,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Location_of_drinking_water_source_Away_Households,State,District,Latitude,Longitude,sex ratio,literacy_rate,male_literacy_rate,female_literacy_rate
4,JAMMU AND KASHMIR,Kargil,140802,77785,63017,86236,56301,29935,18,88929,8266,3763,1222,38622,10341,108239,604,1171,20126,28,4,289,3285,15824,235,1005,40370,7774,48144,12732,19083,20874,16938,9826,3077,408,82938,39854,122792,87532,35561,17488,221,3289,323,2641,907,4068,9218,1963,197,10769,19,7031,Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,81.0,61.0,72.0,48.0
5,JAMMU AND KASHMIR,Punch,476835,251899,224936,261724,163333,98391,556,315442,54264,31583,3930,71616,32604,431279,958,11188,83,10,2,711,13160,62900,346,3342,132139,15269,147408,55762,72024,69219,46062,29517,13962,1884,288430,164044,452474,304979,109818,61334,704,4036,12448,1351,5351,19458,33146,17078,308,43697,234,38654,Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,89.0,55.0,65.0,44.0
7,JAMMU AND KASHMIR,Kathua,616435,326109,290326,389204,228499,160705,141224,416004,69533,21566,3952,105380,540063,64234,1828,9551,24,16,2,717,32772,109422,1443,6112,181374,33473,214847,69396,82715,106411,91522,47694,24330,4504,426572,181297,607869,357864,160123,97684,764,31020,8978,860,5595,16204,36594,52019,771,61227,3438,29223,Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,89.0,63.0,70.0,55.0
10,JAMMU AND KASHMIR,Srinagar,1236829,651124,585705,748584,431746,316838,1068,829641,12228,10408,20095,364457,42540,1177342,2746,12187,285,74,2,1653,138119,165403,16413,33831,4518,257721,262239,88911,173309,178723,176409,132727,121856,32114,904049,310225,1214274,693238,351561,190330,1700,1563,55,669,317,1105,7457,157176,64,164426,692,2815,Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,90.0,61.0,66.0,54.0
12,JAMMU AND KASHMIR,Pulwama,560440,293064,267376,293958,178326,115632,402,372020,49746,34080,10615,93979,13840,535159,1109,9440,35,6,18,833,16828,73629,1537,5293,147520,21703,169223,36201,54808,73991,67368,40931,31286,5897,310482,190369,500851,342601,137032,80111,696,13347,660,8108,929,10127,19320,50893,430,56749,3413,11028,Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,91.0,52.0,61.0,43.0
16,JAMMU AND KASHMIR,Doda,409936,213641,196295,219083,138620,80463,53408,258024,69947,12199,1932,67834,187621,220614,472,422,21,22,42,722,7963,61831,596,3077,122267,11350,133617,43794,47350,62719,48359,31416,12647,1846,248131,163565,411696,263576,93189,52744,427,202,4545,978,2063,7847,35304,25054,261,66002,60,18262,Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,92.0,53.0,65.0,41.0
19,JAMMU AND KASHMIR,Udhampur,554985,296784,258201,322354,197543,124811,138569,311313,113020,11396,2641,116615,489044,59771,1962,3418,106,57,235,392,20008,73999,1214,5744,148664,34696,183360,58567,80129,86008,55024,29657,17345,4030,330760,194838,525598,339145,140785,74757,298,4742,21428,1825,5848,29883,36891,21585,782,47796,166,35086,Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,87.0,58.0,67.0,48.0
21,JAMMU AND KASHMIR,Jammu,1529958,813821,716137,1137135,641916,495219,377991,1021336,68613,36873,10589,392547,1289240,107489,12104,114272,470,1987,321,4075,197168,294739,19905,46657,254566,248043,502609,135391,185962,253542,261852,159257,146501,30616,1173121,268279,1441400,816827,435895,275585,1651,117098,1716,671,3680,7748,46394,233123,1681,168693,8076,22499,Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,88.0,74.0,79.0,69.0
23,HIMACHAL PRADESH,Chamba,519080,261320,257760,323842,186064,137778,111690,225045,196665,9193,4521,83656,479782,32455,1559,2745,1740,57,14,728,21458,96082,1615,5117,186395,13836,200231,56272,96789,67653,64515,40440,15506,3252,344427,154575,499002,306555,130606,81566,353,1031,1834,371,1749,4108,55088,36220,154,96451,9,10664,Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,99.0,62.0,71.0,53.0
24,HIMACHAL PRADESH,Kangra,1510075,750591,759484,1152640,606443,546197,319385,834905,303007,54849,15662,301652,1461140,19797,3023,8929,14511,194,208,2273,148361,330081,8053,22753,588321,39007,627328,127699,243617,223099,284124,192936,91236,13577,1176288,271892,1448180,766581,419172,319420,4902,18358,1441,237,3377,5699,105689,200604,644,301016,1716,30114,Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,101.0,76.0,81.0,72.0
26,HIMACHAL PRADESH,Kullu,437903,225452,212451,307672,174550,133122,122659,168819,197141,12372,2707,56864,415669,2974,1568,1396,15377,94,83,742,40064,91322,2623,7010,167995,20709,188704,48384,77363,61854,58122,39081,23168,2377,310349,103136,413485,244727,120510,72282,384,1753,794,610,2918,4773,38399,46354,451,87848,271,10792,Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,94.0,70.0,77.0,63.0
27,HIMACHAL PRADESH,Mandi,999777,498065,501712,723747,393669,330078,293739,427106,387944,15822,7134,161771,981412,9460,876,4081,2628,43,86,1191,59324,214491,5333,16401,431129,31696,462825,100052,159043,132147,180188,128549,54139,9350,763468,218570,982038,524285,279321,194661,1510,1860,470,455,2854,4828,84301,123062,1049,209375,142,12631,Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,101.0,72.0,79.0,66.0
28,HIMACHAL PRADESH,Hamirpur,454768,217070,237698,358091,180555,177536,109256,212837,147103,8824,3347,82657,449412,3711,243,591,95,293,9,414,34978,104120,2521,7525,196116,15232,211348,37327,71107,72114,91184,64363,35620,5263,376978,72551,449529,224044,123941,106641,142,5691,91,22,353,606,29624,69696,140,94807,208,5748,Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,110.0,79.0,83.0,75.0
28,HIMACHAL PRADESH,Hamirpur,454768,217070,237698,358091,180555,177536,109256,212837,147103,8824,3347,82657,449412,3711,243,591,95,293,9,414,34978,104120,2521,7525,196116,15232,211348,37327,71107,72114,91184,64363,35620,5263,376978,72551,449529,224044,123941,106641,142,5691,91,22,353,606,29624,69696,140,94807,208,5748,Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,110.0,79.0,83.0,75.0
29,HIMACHAL PRADESH,Una,521173,263692,257481,399715,213281,186434,115491,305827,84800,19604,3427,107515,480138,14275,390,26009,56,70,10,225,43809,105929,2412,8238,185091,20126,205217,51838,87913,81256,105204,60626,32120,5511,424468,87735,512203,273223,142351,105358,241,11627,78,48,353,607,30021,71588,128,93873,2419,8090,Himachal Pradesh,Una,31.58330388349513,76.18353932038836,98.0,77.0,81.0,72.0
30,HIMACHAL PRADESH,Bilaspur,381956,192764,189192,287620,155599,132021,98989,176085,127169,4138,2561,72003,371973,6984,236,2387,113,10,7,246,17262,79146,1574,6281,152458,11987,164445,35817,59489,53515,64730,45695,25474,3241,287961,65864,353825,193671,107367,80497,421,5617,513,43,1663,2978,28605,42589,759,67847,477,9259,Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,98.0,75.0,81.0,70.0
30,HIMACHAL PRADESH,Bilaspur,381956,192764,189192,287620,155599,132021,98989,176085,127169,4138,2561,72003,371973,6984,236,2387,113,10,7,246,17262,79146,1574,6281,152458,11987,164445,35817,59489,53515,64730,45695,25474,3241,287961,65864,353825,193671,107367,80497,421,5617,513,43,1663,2978,28605,42589,759,67847,477,9259,Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,98.0,75.0,81.0,70.0
31,HIMACHAL PRADESH,Solan,580320,308754,271566,428578,244372,184206,164536,281583,141267,10283,4969,142218,548579,14678,1452,13926,574,591,110,410,53722,119866,5250,14478,192787,51509,244296,50331,89407,83992,95232,59363,36803,8280,423408,104084,527492,321533,167168,90808,811,6105,1683,472,5371,8674,35692,74848,1148,103964,3148,12813,Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,88.0,74.0,79.0,68.0
32,HIMACHAL PRADESH,Sirmaur,529855,276289,253566,362645,205617,157028,160745,249772,182958,10730,5313,81082,476830,33215,577,15501,2645,236,86,765,28904,91509,2220,8593,171102,21054,192156,57853,100123,78103,67080,38282,23352,4048,368841,140486,509327,310244,136839,82471,301,8795,1993,1297,3558,7958,40315,39659,1110,75607,1045,17116,Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,92.0,68.0,74.0,62.0
33,HIMACHAL PRADESH,Shimla,814010,425039,388971,612642,342846,269796,215777,383084,249786,26114,7967,147059,791449,11810,2025,4047,3262,185,197,1035,108888,172754,9177,24127,279269,95896,375165,69967,113536,113305,141490,95341,80414,9748,623801,137576,761377,425721,241956,145577,756,1382,1051,1134,4795,8370,58532,102066,1390,166551,70,20172,Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,92.0,75.0,81.0,69.0
34,HIMACHAL PRADESH,Kinnaur,84121,46249,37872,60699,36697,24002,14750,27848,32995,2537,944,19797,64732,448,485,249,18086,29,45,47,10740,17865,354,2563,44514,0,44514,9400,13749,11437,11140,7871,5118,713,59428,16944,76372,42360,26599,15075,87,130,282,174,561,1115,6083,11752,98,17996,86,1700,Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,82.0,72.0,79.0,63.0
35,PUNJAB,Gurdaspur,2298323,1212617,1085706,1634719,907660,727059,580576,1541185,147912,100684,30903,477639,1074332,27667,176587,1002874,405,580,812,15066,244468,411216,14428,38445,420860,185488,606348,180897,315156,290618,372317,243539,104345,22107,1528979,478020,2006999,1261421,611353,423301,2248,298315,235,347,3352,4082,30846,393314,148,124910,89511,7052,Punjab,Gurdaspur,32.04283371212125,75.3204064393939,90.0,71.0,75.0,67.0
36,PUNJAB,Kapurthala,815168,426311,388857,576567,316254,260313,276707,531003,55252,42387,9861,176665,336124,10190,5445,453692,6662,553,334,2168,110555,161206,9732,23145,165433,95770,261203,71698,127031,112774,128828,77442,48221,9501,575495,174995,750490,433331,222324,157833,1680,75439,42,119,1897,2111,14783,145612,53,87546,42939,4941,Punjab,Kapurthala,31.336592638036837,75.47641165644177,91.0,71.0,74.0,67.0
37,PUNJAB,Jalandhar,2193590,1145211,1048379,1622537,882581,739956,854444,1419118,85695,66664,29762,592351,1394329,30233,26016,718363,11385,4011,805,8448,299449,446200,39082,79134,330339,377791,708130,183441,333736,304652,339758,216646,162965,34576,1575774,387809,1963583,1159156,616431,416449,1554,151053,135,113,4639,4947,35640,409159,60,297183,80682,9274,Punjab,Jalandhar,31.250336907216507,75.54400350515463,92.0,74.0,77.0,71.0
38,PUNJAB,Hoshiarpur,1586625,809057,777568,1199699,637927,561772,557504,1086803,89772,74362,15990,319698,1000743,23089,14968,538208,3476,2034,531,3576,201675,319930,13747,34328,422673,128592,551265,143871,256127,238975,301435,176013,93618,17427,1227466,294723,1522189,831741,422782,330671,1431,145269,101,125,4106,4460,37705,278909,128,177302,52828,13080,Punjab,Hoshiarpur,31.55157169811319,75.8469857442349,96.0,76.0,79.0,72.0
40,PUNJAB,Fatehgarh Sahib,600163,320795,279368,426033,238696,187337,192493,385380,44245,21389,8048,141101,152851,16808,1698,427521,48,178,251,808,64037,113683,5138,14294,117559,57337,174896,51897,102257,83931,95073,59555,34990,4607,432310,142314,574624,321018,166781,111028,1336,68438,21,75,2699,2829,8403,104951,34,44186,47359,2399,Punjab,Fatehgarh Sahib,30.64290947368421,76.36208394736842,87.0,71.0,74.0,67.0
41,PUNJAB,Ludhiana,3498739,1867816,1630923,2560225,1428348,1131877,923358,2213917,140737,98646,71667,973772,1502403,77713,16517,1863408,2007,19620,1254,15817,488757,703624,58589,123400,395032,641789,1036821,277247,488129,443759,527568,318876,272280,44240,2372099,631980,3004079,1901528,980046,614258,2907,269706,208,310,5851,6585,43609,660590,216,438455,127188,11905,Punjab,Ludhiana,30.76596397379912,75.83110851528383,87.0,73.0,76.0,69.0
42,PUNJAB,Moga,995746,525920,469826,627889,348549,279340,363417,636574,91622,82397,18098,167055,158414,9388,3277,818921,178,436,365,4767,89445,183396,7897,21662,214295,74144,288439,98764,158812,116716,128693,85642,37417,11956,638000,306336,944336,535408,258826,194768,6744,91646,66,209,6865,7339,25433,151928,199,91608,71851,13867,Punjab,Moga,30.756540067340065,75.1600845117845,89.0,63.0,66.0,59.0
43,PUNJAB,Firozpur,2029074,1071637,957437,1227511,707070,520441,855726,1272379,191685,227971,14679,322360,906408,6844,19358,1090815,454,1143,278,3774,141899,349662,10042,31070,348522,153868,502390,196971,306838,226433,221806,147698,82448,25734,1207928,714869,1922797,1171770,525459,331259,586,196377,90,3947,8539,13729,55030,286759,1153,161386,47667,32378,Punjab,Firozpur,30.63407535211269,74.40245732394365,89.0,60.0,66.0,54.0
44,PUNJAB,Muktsar,901896,475622,426274,524848,300401,224447,381554,566570,86565,111014,5187,132560,254920,4333,1681,638625,240,744,433,920,76441,166585,4571,14077,149507,74650,224157,90240,137470,101852,104682,62612,36905,10666,544427,340886,885313,495167,242628,162297,1804,72452,50,1632,3314,5201,27435,125869,205,94584,2897,19488,Punjab,Muktsar,30.31243303303303,74.5518747747748,90.0,58.0,63.0,53.0
45,PUNJAB,Faridkot,617508,326671,290837,381285,215767,165518,240328,395953,53230,54058,8225,106042,141363,3125,1227,469789,155,1109,103,637,62103,113549,4348,12276,99946,58917,158863,53734,89433,71178,75419,48360,29838,5790,373752,204895,578647,336540,164962,113721,2285,65489,17,1163,2150,3357,11352,95315,27,48872,11685,11526,Punjab,Faridkot,30.591187250996025,74.79751553784862,89.0,62.0,66.0,57.0
46,PUNJAB,Bathinda,1388525,743197,645328,844868,488261,356607,450473,838539,141535,128382,14938,265131,380569,16299,2474,984286,246,1266,559,2826,118427,255650,11284,32253,218159,137563,355722,117795,182796,145626,163928,96329,70240,16666,793380,438529,1231909,754927,377707,255283,608,105388,62,1530,5164,8012,39408,211601,1256,151659,43730,15026,Punjab,Bathinda,30.190524611973352,75.05685898004438,87.0,61.0,66.0,55.0
47,PUNJAB,Mansa,769751,408732,361019,423560,244037,179523,258878,441239,105963,90367,13442,118740,156539,10375,917,598443,123,1577,493,1284,39414,140099,2673,10085,145603,50786,196389,75708,106162,84553,85953,48663,27461,5658,434158,311513,745671,420050,200882,146103,2716,69458,45,1205,4032,5390,23021,108275,108,71808,25087,15831,Punjab,Mansa,29.919547714285724,75.4304922857143,88.0,55.0,60.0,50.0
48,PUNJAB,Patiala,1895686,1002522,893164,1266791,711052,555739,465359,1235419,113182,89123,23647,434315,783306,40043,5683,1059944,245,1914,1410,3141,209192,352929,24274,55105,299279,218090,517369,173890,283837,239609,256826,157435,141947,27272,1280816,518772,1799588,1042519,517079,335100,988,144431,84,213,8370,8828,39120,306941,161,207661,119054,15679,Punjab,Patiala,30.214540380693364,76.27505893949697,89.0,67.0,71.0,62.0
49,PUNJAB,Amritsar,2490656,1318408,1172248,1684770,932981,751789,770864,1572800,124617,121599,41642,629998,690939,12502,54344,1716935,876,3152,1044,10864,279993,461231,29961,63864,275477,385476,660953,197944,313874,283819,328229,203656,142399,15879,1485800,540010,2025810,1384987,667193,436496,1980,253217,99,255,7144,7674,26122,447498,176,218410,127669,6683,Punjab,Amritsar,31.548679820627772,74.79883856502238,89.0,68.0,71.0,64.0
51,PUNJAB,Rupnagar,684627,357485,327142,502731,278534,224197,180905,450951,45640,21520,12321,154195,304481,14492,2094,361045,118,653,143,1601,67749,129123,6600,17542,148162,60537,208699,53005,107715,98135,116836,68794,38823,9388,492696,124100,616796,365300,185424,131707,2196,45581,199,218,1544,2047,17770,107694,86,80769,16514,7390,Punjab,Rupnagar,30.910937330754347,76.53743500967126,92.0,73.0,78.0,69.0
53,PUNJAB,Sangrur,1655169,878029,777140,1002077,570413,431664,461609,1086411,157191,91799,18578,301190,389410,179116,2406,1077438,268,3222,1038,2271,135280,305557,10736,30955,292156,156788,448944,163251,250833,197901,220210,130155,73636,18393,1054379,570103,1624482,904316,435148,311621,4084,153898,66,321,8094,8892,41855,255649,411,150522,120978,16526,Punjab,Sangrur,30.185045204336895,75.89437014178496,89.0,61.0,65.0,56.0
55,CHANDIGARH,Chandigarh,1055450,580663,474787,805438,465346,340092,199086,651314,2578,1687,4799,395072,852574,51447,8720,138329,1160,1960,246,1014,168344,231204,44283,78113,8911,289456,298367,80406,118667,114209,124707,98786,174528,20188,731491,184265,915756,602411,303748,148945,346,6167,36,12,1120,1372,27384,202495,204,227354,2001,5182,Chandigarh,Chandigarh,30.7426,76.75872465753424,82.0,76.0,80.0,72.0
56,UTTARAKHAND,Uttarkashi,330086,168597,161489,215126,128237,86889,80567,172810,117264,4387,3122,32503,324859,3554,353,167,563,74,105,411,21374,52621,602,4104,112148,9061,121209,43442,46625,47640,30901,24989,18882,981,213460,83896,297356,202426,75997,51245,418,1265,2743,1367,5884,10524,19107,28531,530,53576,7,18920,Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617,96.0,65.0,76.0,54.0
57,UTTARAKHAND,Chamoli,391605,193991,197614,280556,155395,125161,79317,210665,121157,3845,5384,50554,385818,4395,428,323,190,11,23,417,27853,71524,899,5582,163434,22906,186340,47447,68435,67519,47703,32557,27168,2367,293196,61950,355146,229715,93182,67873,835,967,1940,847,6637,10016,32596,31825,592,73654,9,21344,Uttaranchal,Chamoli,30.58338611464965,79.56281095541402,102.0,72.0,80.0,63.0
59,UTTARAKHAND,Tehri Garhwal,618931,297986,320945,407994,227406,180588,102130,338489,187121,8129,4021,81171,609835,7374,656,290,32,91,109,544,50929,117239,1366,7831,227059,27177,254236,72163,103462,95417,74008,58434,30704,2073,436261,133013,569274,368324,139371,109998,1238,7511,8444,2673,6619,19849,50396,43048,2113,103160,49,40050,Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917,108.0,66.0,76.0,56.0
62,UTTARAKHAND,Pithoragarh,483439,239306,244133,345550,189623,155927,120378,266949,137332,5432,6055,67671,475105,6015,1401,260,185,13,30,430,45365,95421,1344,7932,183687,26256,209943,63591,87585,90983,56591,42086,28375,2237,371448,88036,459484,273494,116749,92517,679,5118,1161,2067,9189,14201,40377,46575,1784,88949,16,24590,Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236,102.0,71.0,79.0,64.0
63,UTTARAKHAND,Bageshwar,259898,124326,135572,179483,97546,81937,72061,136260,85125,8985,2991,26537,257509,1440,397,46,102,7,16,381,13352,47083,435,3595,96031,3880,99911,38113,47788,50340,31224,20785,10900,675,199825,49539,249364,147488,60569,51672,169,1888,613,983,4948,7697,27478,14315,1153,45834,31,15919,Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357,109.0,69.0,78.0,60.0
64,UTTARAKHAND,Almora,622506,291081,331425,436497,231604,204893,150995,324295,207617,10274,4312,76008,611250,7752,1895,256,201,31,6,1115,40199,109876,1830,9858,260056,21082,281138,90864,120029,115810,76148,53026,37742,2263,495882,109556,605438,351595,141238,128994,679,5856,1502,2135,11918,17502,65744,36378,1947,112049,37,37135,Uttaranchal,Almora,29.683532133676103,79.50165064267351,114.0,70.0,80.0,62.0
65,UTTARAKHAND,Champawat,259648,131125,128523,177726,102015,75711,47383,160082,59993,4032,1570,33971,249563,8693,870,336,24,28,6,128,18785,37725,548,3159,85202,12839,98041,36127,48093,45766,23610,18360,15110,1317,188383,62429,250812,156916,60722,41913,97,9321,477,1076,4091,6774,19586,19181,1130,34183,603,13589,Uttaranchal,Champawat,29.29142393939393,80.07720212121217,98.0,68.0,78.0,59.0
67,UTTARAKHAND,Udham Singh Nagar,1648902,858783,790119,1037839,598525,439314,238264,1057444,122686,165250,26396,277126,1104452,372267,6064,162768,505,738,159,1949,116576,254802,7883,28053,269406,145253,414659,179602,302653,232381,169274,113661,111062,11786,1120419,438598,1559017,1042614,392370,212223,1695,185252,26,72,3483,3891,45902,242986,310,110297,9841,11164,Uttaranchal,Udham Singh Nagar,29.02779577677222,79.45629004524895,92.0,63.0,70.0,56.0
69,HARYANA,Panchkula,561293,299679,261614,405318,229862,175456,101830,349814,26682,12827,9870,162100,490702,23451,2583,40951,1008,1626,90,882,69687,103455,18615,32174,70895,93656,164551,45607,73584,60177,69163,48306,83256,8466,388559,119222,507781,309078,157076,93606,1533,5218,477,318,880,2119,22286,82195,444,99720,3329,5755,Haryana,Panchkula,30.700897142857134,76.97173238095236,87.0,72.0,77.0,67.0
70,HARYANA,Ambala,1128350,598703,529647,818025,461288,356737,296246,756211,52871,57293,15753,246222,955096,22143,3705,138202,381,4845,110,3868,121622,199681,12899,32767,175365,139891,315256,89558,170110,161844,163544,97980,91472,18727,793235,222031,1015266,617859,308126,201685,680,32215,51,32,863,1052,27750,175374,106,173860,14874,4947,Haryana,Ambala,30.3503672316384,76.94970310734456,88.0,72.0,77.0,67.0
72,HARYANA,Kurukshetra,964655,510976,453679,646893,370828,276065,215128,627875,68908,85890,6726,175256,805175,15970,1943,140395,214,375,106,477,90150,171908,7356,21951,203553,88268,291821,94530,145392,118107,120790,81964,71007,10999,642789,266638,909427,552034,250830,160216,1575,25561,42,17,934,1052,28663,144159,59,152471,23107,6569,Haryana,Kurukshetra,30.05652659846548,76.78774680306903,89.0,67.0,73.0,61.0
73,HARYANA,Kaithal,1074304,571003,503301,646529,385782,260747,247513,700405,128016,85651,9450,150782,974520,8232,1769,87558,265,351,70,1539,62668,187349,3724,15301,231091,75696,306787,119345,158239,124682,117753,82297,51043,9111,662470,369869,1032339,630194,265813,176320,1977,77712,36,354,2845,4132,60650,114419,897,116339,45149,25152,Haryana,Kaithal,29.96068539094649,76.37698930041155,88.0,60.0,68.0,52.0
74,HARYANA,Karnal,1505324,797712,707612,978013,564516,413497,339604,989262,112288,133723,15311,254740,1341002,31650,2049,126207,532,1516,49,2319,143133,267223,11163,29253,292682,135920,428602,155839,231354,188040,183590,124790,101387,19186,1004186,429220,1433406,884972,380409,234684,5259,51117,46,84,3100,3507,45033,225116,277,229500,29657,14402,Haryana,Karnal,29.703200647249204,76.87488025889972,89.0,65.0,71.0,58.0
75,HARYANA,Panipat,1205437,646857,558580,786599,464136,322463,206213,793119,72120,62358,15824,262016,1083936,86622,2261,25064,289,4647,99,2519,121846,209965,10024,26719,173502,153804,327306,118873,170565,143466,141473,91756,75774,10977,752884,296212,1049096,739075,298764,167244,354,69876,33,208,2672,3380,53544,148894,467,145881,41486,17950,Haryana,Panipat,29.34352134146342,76.92895914634147,86.0,65.0,72.0,58.0
77,HARYANA,Jind,1334152,713006,621146,832758,502049,330709,282351,810730,230387,102071,9114,181850,1276669,23016,889,29103,172,2594,56,1653,78386,222462,5263,23750,278335,89665,368000,136892,185626,151682,154773,107994,64599,14277,815843,419624,1235467,784085,335704,213478,885,89084,39,542,4981,6732,73935,119784,1170,129177,43302,50863,Haryana,Jind,29.45149821958457,76.29598575667653,87.0,62.0,70.0,53.0
78,HARYANA,Fatehabad,942011,495360,446651,557578,327471,230107,284357,572928,132250,97997,6558,132278,779243,8360,996,150969,171,1172,530,570,51693,153301,3210,13142,203020,55360,258380,103541,136663,99948,93526,61476,37741,9504,542399,344534,886933,555745,237009,147469,1788,41039,28,1970,1355,5126,39877,122912,1773,128708,25578,13305,Haryana,Fatehabad,29.57298318584072,75.54608716814157,90.0,59.0,66.0,52.0
79,HARYANA,Sirsa,1295189,682582,612607,782897,456968,325929,387381,793186,164297,147042,11952,178712,940255,9524,2186,338962,370,2256,624,1012,70538,215527,6287,22706,245476,93316,338792,141766,201349,153263,134559,83373,61620,16698,792628,412353,1204981,750228,334344,208185,2432,26345,61,3363,1968,7298,33381,196564,1906,204475,19947,10272,Haryana,Sirsa,29.63583446327684,74.90970480225988,90.0,60.0,67.0,53.0
80,HARYANA,Hisar,1743931,931562,812369,1114311,670200,444111,408785,1052310,261120,144213,16097,270191,1701061,21650,1945,12270,334,3620,33,3018,110495,285004,10132,33400,302013,154113,456126,197303,230074,194595,202792,144626,105346,19031,1093767,505251,1599018,1017830,456536,265109,4456,78490,53,4199,2895,11939,76543,194669,4792,218535,11612,53834,Haryana,Hisar,29.23628731117825,75.84324682779452,87.0,64.0,72.0,55.0
81,HARYANA,Bhiwani,1634445,866672,767773,1069871,643158,426713,341162,1011439,288543,103788,14855,215820,1611031,15515,873,2401,254,1016,26,3329,88938,266244,5292,25236,357047,99235,456282,186145,223049,198307,218631,148995,104875,13786,1093788,459364,1553152,964960,405760,261428,2297,68692,67,347,5860,9831,84400,164410,3557,203509,36262,60002,Haryana,Bhiwani,28.728868064516128,76.02110225806452,89.0,65.0,74.0,56.0
82,HARYANA,Rohtak,1061204,568479,492725,747582,436025,311557,216889,715237,95732,36568,8521,205146,1043887,8185,732,3916,200,3491,24,769,94633,193120,8482,27225,175203,131739,306942,117097,150903,140782,168499,109596,100346,21134,808357,248795,1057152,605741,269354,185685,424,35577,34,1086,2431,3991,37780,136781,440,154010,10545,28372,Haryana,Rohtak,28.892517647058817,76.53123235294117,87.0,70.0,77.0,63.0
83,HARYANA,Jhajjar,958405,514667,443738,676091,399480,276611,170448,631871,112389,44845,9254,160046,945693,8247,734,1042,105,645,22,1917,70149,168558,5034,19241,211816,78328,290144,90737,109829,115794,145258,97457,58826,9387,627288,201028,828316,549975,245095,162356,979,36644,41,173,4715,6599,36547,114081,1670,133448,14363,32772,Haryana,Jhajjar,28.59651868131869,76.61137142857145,86.0,71.0,78.0,62.0
84,HARYANA,Mahendragarh,922088,486665,435423,630255,380440,249815,156314,583504,149146,38320,7639,143479,913251,5660,301,1737,75,644,15,405,45359,135455,2624,13908,223726,44216,267942,94273,135849,126291,132765,94245,60296,10353,654072,245602,899674,530000,229392,161258,1438,40151,51,60,7081,12890,55460,80378,5698,108389,37955,32687,Haryana,Mahendragarh,28.1352161458333,76.14018072916659,89.0,68.0,78.0,57.0
85,HARYANA,Rewari,900332,474335,425997,636947,375453,261494,182606,562605,102698,28215,9782,197032,889133,5713,701,1804,202,1525,12,1242,62667,152651,5121,18092,199449,69305,268754,81280,120860,122617,139646,95807,65143,9820,635173,206827,842000,518747,230704,150557,324,37962,34,147,3439,5393,35782,114709,1773,122608,24732,18637,Haryana,Rewari,28.19164714828897,76.55956007604564,90.0,71.0,79.0,61.0
86,HARYANA,Gurgaon,1514432,816690,697742,1111116,638666,472450,197937,969716,56046,27097,18228,443345,1408801,70842,9725,15097,944,7451,254,1318,238359,305751,67087,102343,141703,381988,523691,126920,177453,175370,219200,150120,233402,41366,1123831,263720,1387551,875531,428101,210307,493,93746,71,264,4773,6361,44026,257287,1253,219377,81189,19329,Haryana,Gurgaon,28.043894789579163,77.01935130260523,85.0,73.0,78.0,68.0
