District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Main_source_of_drinking_water_Other_sources_Households,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Location_of_drinking_water_source_Away_Households,State,District,Latitude,Longitude,sex ratio,literacy_rate,male_literacy_rate,female_literacy_rate
346,JHARKHAND,Garhwa,1322784,683575,639209,653476,405161,248315,319946,751353,113561,328673,14487,114710,1104475,194680,17168,123,371,20,4591,1356,6798,29373,565,8881,272872,19180,292052,207665,195565,147446,87844,46882,28144,2830,716376,557852,1274228,860869,284036,177599,280,180798,339,3129,710,4405,120994,42515,227,9562,2359,91201,Jharkhand,Garhwa,24.082114689265527,83.68664265536722,94.0,49.0,59.0,39.0
347,JHARKHAND,Chatra,1042886,533935,508951,510061,303902,206159,340553,645196,119297,188513,14210,75670,903179,116710,6565,888,35,129,12936,2444,5307,27037,590,9115,200974,14528,215502,200861,161729,102033,63670,35342,21697,2046,587378,467975,1055353,692650,222892,126682,662,85552,358,2487,800,3710,94922,29054,65,7066,930,56936,Jharkhand,Chatra,24.11619945750453,84.93295804701627,95.0,49.0,57.0,41.0
349,JHARKHAND,Giridih,2445474,1258098,1187376,1253475,783736,469739,325493,1409197,369913,362610,32544,271210,1856202,508586,14645,937,650,1503,59218,3733,16909,125431,1944,19976,452564,46886,499450,503261,443980,261309,146464,77540,55122,8449,1496125,1047685,2543810,1597269,533788,312967,1450,89371,994,7536,2883,11791,205231,64045,378,20116,3294,122172,Jharkhand,Giridih,24.30578509874329,86.08710915619386,94.0,51.0,62.0,40.0
350,JHARKHAND,Deoghar,1492073,775022,717051,793538,489837,303701,190036,940606,128656,209693,39361,173757,1165140,302626,6027,143,188,282,16067,1600,26760,130193,1944,13550,257373,64337,321710,217460,266292,190171,96331,54419,43979,6699,875351,635544,1510895,944961,338413,205514,3185,140518,297,3608,1045,5043,137889,51356,93,10813,9593,71071,Jharkhand,Deoghar,24.33070100755672,86.75697632241814,93.0,53.0,63.0,42.0
351,JHARKHAND,Godda,1313551,677927,635624,604519,376212,228307,115567,761360,144603,307767,18719,81102,937126,289182,37795,97,128,115,47067,2041,7421,43230,874,11925,276454,15576,292030,217607,190777,126766,79430,47395,30870,4002,696847,653464,1350311,820367,308639,183519,1026,168876,2560,2965,1533,7403,135005,36301,345,9377,2969,79712,Jharkhand,Godda,24.8189,87.2941735483871,94.0,46.0,55.0,36.0
352,JHARKHAND,Sahibganj,1150567,589391,561176,483263,287303,195960,72341,660365,109975,206902,43179,130146,628044,398243,83208,198,245,125,38426,2078,11545,34879,591,9563,223450,37543,260993,146399,171416,110822,52248,28087,19832,2593,531397,637296,1168693,745027,261849,137727,5964,148110,3988,1584,986,6815,117415,44115,257,10049,8021,62987,Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,95.0,42.0,49.0,35.0
353,JHARKHAND,Pakur,900422,452661,447761,352881,206989,145892,28469,495838,105334,150028,19471,129751,410127,322963,75865,356,283,222,88760,1846,5316,31414,328,4535,200588,16587,217175,100367,133770,79045,29934,15700,9822,1525,370163,548434,918597,587976,206826,104418,1202,139605,5719,1716,272,7852,114465,11757,145,5590,7257,54356,Jharkhand,Pakur,24.57260428082189,87.69691969178076,99.0,39.0,46.0,33.0
354,JHARKHAND,Dhanbad,2684487,1405956,1278531,1722204,1014950,707254,437309,1839983,97118,103488,25889,618009,2149480,431762,11243,9727,331,1268,77182,3494,83995,427173,11568,46646,258764,405455,664219,317918,501453,449506,305054,186697,107382,14615,1882625,662522,2545147,1634835,648876,356445,44331,153604,897,5460,9096,17607,179162,163958,2154,199454,22792,156059,Jharkhand,Dhanbad,23.854509090909097,86.40372924901185,91.0,64.0,72.0,55.0
355,JHARKHAND,Bokaro,2062330,1072807,989523,1273520,759088,514432,299227,1376962,137521,126406,21671,399770,1636460,241451,13730,4174,1890,2045,160524,2056,67157,274726,9754,37997,250312,258452,508764,242467,338861,342646,232434,154076,116396,21157,1448037,595924,2043961,1261238,510375,282115,8602,137244,2450,12782,4209,20826,141889,139394,1385,101797,12123,110155,Jharkhand,Bokaro,23.6814965034965,85.98398374125864,92.0,62.0,71.0,52.0
356,JHARKHAND,Lohardaga,461790,232629,229161,259707,149568,110139,15330,240458,99780,80840,4449,36263,112378,95012,16770,51,33,15,235987,1544,8016,28769,351,2954,96759,14725,111484,82873,84920,63545,38503,21987,13847,976,306651,188323,494974,298844,100340,62244,362,40470,908,984,235,2157,47719,10565,30,2682,435,33018,Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,99.0,56.0,64.0,48.0
358,JHARKHAND,Palamu,1939869,1006302,933567,1024563,621706,402857,536382,1226694,133585,380976,19911,178703,1683169,238295,6164,734,188,284,5681,5354,17270,68238,2155,19981,355529,52375,407904,303053,296937,231565,160964,100290,63595,7117,1163521,803424,1966945,1244572,425668,268387,1242,239217,740,4192,2365,7765,155839,93084,468,16934,3755,106592,Jharkhand,Palamu,24.196925968109337,84.20310842824594,93.0,53.0,62.0,43.0
359,JHARKHAND,Latehar,726978,369666,357312,350682,209706,140976,154910,413599,103693,142729,9205,57752,473049,69808,47653,120,128,16,133525,2679,2177,38194,340,6240,146377,14137,160514,109491,121529,88787,46142,23885,13956,1017,404807,349277,754084,484084,152720,89870,304,70760,1842,3848,528,6394,66928,13556,176,3795,736,52201,Jharkhand,Latehar,23.72511185840708,84.48298743362837,97.0,48.0,57.0,39.0
362,JHARKHAND,Dumka,1321442,668514,652928,672409,406275,266134,79614,696663,193402,303084,23106,105187,1044726,106865,86404,234,267,162,78622,4162,11836,62110,1193,10396,303697,23281,326978,229157,229259,149009,69525,38383,25593,2697,743623,601078,1344701,799323,324226,196164,1729,178206,3858,3271,1206,8749,146642,23295,414,10184,9715,102988,Jharkhand,Dumka,24.275006125574265,87.27662450229711,98.0,51.0,61.0,41.0
363,JHARKHAND,Jamtara,791042,404830,386212,426312,258260,168052,72885,464411,106008,135667,11547,73409,550560,164406,4419,520,118,783,68564,1672,5564,49419,808,4959,165555,20113,185668,131150,132014,85745,40613,22995,14802,1578,428897,366012,794909,480895,189889,116810,3448,103482,498,1405,400,2403,81943,20557,100,3369,6404,47603,Jharkhand,Jamtara,23.97873318077801,86.95325080091534,95.0,54.0,64.0,44.0
364,JHARKHAND,Ranchi,2914253,1494937,1419316,1911433,1085244,826189,152943,1771386,317487,267360,38452,519568,1612239,410759,193974,4826,932,2733,677445,11345,164237,350908,22538,76565,420740,310242,730982,361522,547583,495515,370847,247237,195181,28424,2246309,613855,2860164,1742293,725938,409166,36856,211799,2336,6977,3210,13129,182802,199059,606,101302,44162,174928,Jharkhand,Ranchi,23.184235061391547,85.31781937244203,95.0,66.0,73.0,58.0
366,JHARKHAND,Gumla,1025213,514390,510823,559720,321795,237925,32459,537705,321272,97918,12771,55547,309563,51429,202449,221,531,23,457468,3529,9108,31687,831,7807,216629,16445,233074,136719,242580,182260,82114,45613,23742,2913,715941,322119,1038060,643579,225871,155452,311,52883,2601,1302,914,4878,83958,20129,61,7231,961,84762,Jharkhand,Gumla,23.078532948929148,84.55056787479396,99.0,55.0,63.0,47.0
